Residual,Absolute_Error
9.2500,9.2500
5.9779,5.9779
3.8462,3.8462
-9.4444,9.4444
0.0000,0.0000
26.9779,26.9779
21.9779,21.9779
2.9779,2.9779
0.0000,0.0000
1.9779,1.9779
-2.5312,2.5312
4.5000,4.5000
-32.0000,32.0000
1.7647,1.7647
1.7647,1.7647
4.9779,4.9779
-5.0221,5.0221
-3.5000,3.5000
-4.5556,4.5556
3.8462,3.8462
-38.5556,38.5556
6.9779,6.9779
2.9779,2.9779
-17.5556,17.5556
-22.5312,22.5312
11.5556,11.5556
-27.0221,27.0221
-6.0221,6.0221
4.9779,4.9779
-21.0221,21.0221
-4.7500,4.7500
-8.0221,8.0221
1.7647,1.7647
-5.6429,5.6429
-4.5556,4.5556
-0.0221,0.0221
2.9779,2.9779
-7.7500,7.7500
12.9779,12.9779
-2.0221,2.0221
-27.0221,27.0221
2.5000,2.5000
13.3571,13.3571
2.9779,2.9779
2.9779,2.9779
2.9779,2.9779
-4.0221,4.0221
2.9779,2.9779
24.5556,24.5556
34.5556,34.5556
21.9779,21.9779
2.5000,2.5000
-6.0221,6.0221
-10.0221,10.0221
6.9779,6.9779
5.9779,5.9779
7.9779,7.9779
2.9779,2.9779
15.9779,15.9779
-15.0221,15.0221
1.2500,1.2500
2.5556,2.5556
3.8462,3.8462
-2.5312,2.5312
13.5000,13.5000
-26.7500,26.7500
-0.7500,0.7500
1.7647,1.7647
-8.6429,8.6429
-4.5556,4.5556
6.4444,6.4444
-12.1538,12.1538
8.3571,8.3571
3.8462,3.8462
13.5556,13.5556
-10.0221,10.0221
-12.0221,12.0221
1.7647,1.7647
